id_match,home_team,away_team,home_score,away_score,tournament,kick-off,stadium,attendance,torneio,locale,resultado,gols_casa,gols_sofridos_casa,gols_fora,gols_sofridos_fora,marcou_gol,sofreu_gol,jogos_cumulativos,year,month,weekday
CA1,Flamengo,Audax-RJ,4,0,Carioca - Round 1,2024-01-17 21:30:00,Arena da Amazônia-AM,44068,Carioca,Casa,Vitória,4,0,0,0,Sim,Não,1,2024,Jan,Wed
AM1,Philadelphia Union-EUA,Flamengo,0,2,International Friendly Game,2024-01-21 16:00:00,AI Lang Stadium-EUA,7227,International Friendly Game,Fora,Vitória,0,0,2,0,Sim,Não,2,2024,Jan,Sun
CA2,Nova Iguaçu-RJ,Flamengo,1,1,Carioca - Round 2,2024-01-21 18:10:00,Estádio Almeidão-PB,16428,Carioca,Fora,Empate,0,0,1,1,Sim,Sim,3,2024,Jan,Sun
AM2,Orlando City,Flamengo,1,1,International Friendly Game,2024-01-27 16:00:00,Inter&Co Stadium-EUA,22678,International Friendly Game,Fora,Empate,0,0,1,1,Sim,Sim,4,2024,Jan,Sat
CA3,Portuguesa-RJ,Flamengo,0,0,Carioca - Round 3,2024-01-27 18:10:00,Arena das Dunas-RN,25211,Carioca,Fora,Empate,0,0,0,0,Não,Não,5,2024,Jan,Sat
CA4,Sampaio Corrêa-RJ,Flamengo,0,2,Carioca - Round 4,2024-01-31 21:30:00,Mangueirão-PA,47644,Carioca,Fora,Vitória,0,0,2,0,Sim,Não,6,2024,Jan,Wed
CA5,Vasco,Flamengo,0,0,Carioca - Round 5,2024-02-04 19:00:00,Maracanã-RJ,56318,Carioca,Fora,Empate,0,0,0,0,Não,Não,7,2024,Feb,Sun
CA6,Flamengo,Botafogo,1,0,Carioca - Round 6,2024-02-07 21:30:00,Maracanã-RJ,46798,Carioca,Casa,Vitória,1,0,0,0,Sim,Não,8,2024,Feb,Wed
CA7,Flamengo,Volta Redonda,3,0,Carioca - Round 7,2024-02-10 16:00:00,Maracanã-RJ,42373,Carioca,Casa,Vitória,3,0,0,0,Sim,Não,9,2024,Feb,Sat
CA8,Bangu-RJ,Flamengo,0,3,Carioca - Round 8,2024-02-15 21:30:00,Arena Batistão-SE,15575,Carioca,Fora,Vitória,0,0,3,0,Sim,Não,10,2024,Feb,Thu
CA9,Flamengo,Boa Vista-RJ,4,0,Carioca - Round 9,2024-02-21 21:30:00,Maracanã-RJ,34220,Carioca,Casa,Vitória,4,0,0,0,Sim,Não,11,2024,Feb,Wed
CA10,Flamengo,Fluminense,2,0,Carioca - Round 10,2024-02-25 16:00:00,Maracanã-RJ,55401,Carioca,Casa,Vitória,2,0,0,0,Sim,Não,12,2024,Feb,Sun
CA11,Flamengo,Madureira-RJ,3,0,Carioca - Round 11,2024-03-02 16:00:00,Maracanã-RJ,63422,Carioca,Casa,Vitória,3,0,0,0,Sim,Não,13,2024,Mar,Sat
CA12,Fluminense,Flamengo,0,2,Carioca - Semifinal - First leg,2024-03-09 21:30:00,Maracanã-RJ,52169,Carioca,Fora,Vitória,0,0,2,0,Sim,Não,14,2024,Mar,Sat
CA13,Flamengo,Fluminense,0,0,Carioca - Semifinal - Second leg,2024-03-16 21:00:00,Maracanã-RJ,56261,Carioca,Casa,Empate,0,0,0,0,Não,Não,15,2024,Mar,Sat
CA14,Nova Iguaçu-RJ,Flamengo,0,3,Carioca - Final - First leg,2024-03-30 17:00:00,Maracanã-RJ,43778,Carioca,Fora,Vitória,0,0,3,0,Sim,Não,16,2024,Mar,Sat
LIB1,Millonarios-COL,Flamengo,1,1,Copa Libertadores - Round 1,2024-04-02 19:00:00,El Campin-COL,22205,Copa Libertadores,Fora,Empate,0,0,1,1,Sim,Sim,17,2024,Apr,Tue
CA15,Flamengo,Nova Iguaçu-RJ,1,0,Carioca - Final - Second leg,2024-04-07 17:00:00,Maracanã-RJ,65757,Carioca,Casa,Vitória,1,0,0,0,Sim,Não,18,2024,Apr,Sun
LIB2,Flamengo,Palestino-CHI,2,0,Copa Libertadores - Round 2,2024-04-10 19:00:00,Maracanã-RJ,58597,Copa Libertadores,Casa,Vitória,2,0,0,0,Sim,Não,19,2024,Apr,Wed
